review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_0078,0,1,A_organic,0.86430424,0.037760198,15
bn_0079,0,1,A_organic,0.8559922,0.06748873,19
bn_0080,0,1,A_organic,0.7284805,0.08237326,13
bn_0081,0,1,A_organic,0.7767323,0.08964068,31
bn_0082,0,1,A_organic,0.8438284,0.06735176,9
bn_0083,0,1,A_organic,0.7653111,0.031229734,13
bn_0084,0,1,A_organic,0.78186715,0.10886437,28
bn_0085,0,1,A_organic,0.7424301,0.081201255,6
bn_0086,0,1,A_organic,0.726777,0.1268425,16
bn_0087,1,1,A_organic,0.90953684,0.0066592097,10
bn_0088,0,1,A_organic,0.8457643,0.047385037,16
bn_0089,0,1,A_organic,0.75181603,0.11100376,10
bn_0090,0,1,A_organic,0.7617335,0.060592532,11
bn_0091,0,1,A_organic,0.7857401,0.04747188,26
bn_0092,0,1,A_organic,0.7353684,0.103078485,27
bn_0093,0,1,A_organic,0.77065486,0.052694857,4
bn_0094,0,1,A_organic,0.80305874,0.033957064,14
bn_0095,0,1,A_organic,0.89977044,0.023409009,16
bn_0096,0,1,A_organic,0.8312979,0.046798468,12
bn_0097,0,1,A_organic,0.74339235,0.12180579,17
bn_0098,0,1,A_organic,0.77526057,0.06167549,24
bn_0099,0,1,A_organic,0.7800522,0.06430709,7
bn_0100,0,1,A_organic,0.7366011,0.063920796,11
bn_0101,0,1,A_organic,0.7185042,0.13633949,10
bn_0102,0,1,A_organic,0.8151483,0.06755549,10
bn_0103,0,1,A_organic,0.68690395,0.15018147,19
bn_0104,0,1,A_organic,0.63721865,0.15114027,9
bn_0105,0,1,A_organic,0.7410815,0.08003312,20
bn_0106,0,1,A_organic,0.76374006,0.10832703,15
bn_0107,0,1,A_organic,0.8381044,0.01907891,4
bn_0108,0,1,A_organic,0.6776201,0.11816597,7
bn_0109,0,1,A_organic,0.73661065,0.09187955,16
bn_0110,0,1,A_organic,0.8282034,0.021101058,8
bn_0111,0,1,A_organic,0.8674363,0.009206831,6
bn_0112,0,1,A_organic,0.7152226,0.123429775,8
bn_0113,0,1,A_organic,0.8012939,0.017047405,30
bn_0114,0,1,A_organic,0.762792,0.051380694,17
bn_0115,0,1,A_organic,0.75216246,0.050953925,5
bn_0116,0,1,A_organic,0.81941634,0.038818598,20
bn_0117,0,1,A_organic,0.75050026,0.08240628,28
bn_0118,1,1,A_organic,0.90718883,0.0056281686,11
bn_0119,0,1,A_organic,0.7955816,0.070862114,27
bn_0120,0,1,A_organic,0.6978272,0.15348184,12
bn_0121,0,1,A_organic,0.8399514,0.022525728,22
bn_0122,0,1,A_organic,0.77710915,0.050606728,7
bn_0123,1,1,A_organic,0.9489154,0.020935416,12
bn_0124,0,1,A_organic,0.80555886,0.032926798,8
bn_0125,0,1,A_organic,0.7678785,0.07618135,14
bn_0126,0,1,A_organic,0.7614751,0.08051181,11
bn_0127,0,1,A_organic,0.82154346,0.035428464,31
bn_0128,0,1,A_organic,0.84117186,0.04441464,12
bn_0129,0,1,A_organic,0.81448776,0.057492137,16
bn_0130,0,1,A_organic,0.8701613,0.041239023,34
bn_0131,0,1,A_organic,0.6971975,0.11569911,13
bn_0132,0,1,A_organic,0.7962569,0.051270664,15
bn_0133,1,1,A_organic,0.90849644,0.017394304,17
bn_0134,0,1,A_organic,0.9002767,0.0019908547,13
bn_0135,1,1,A_organic,0.8403534,0.0002220273,21
bn_0136,0,1,A_organic,0.8290569,0.026933908,33
bn_0137,0,1,A_organic,0.93699694,0.007740557,10
bn_0138,0,1,A_organic,0.75346,0.116384506,28
bn_0139,0,1,A_organic,0.8111629,0.04965496,34
bn_0140,0,1,A_organic,0.74197716,0.09017956,21
bn_0141,1,1,A_organic,0.9762635,0.048049092,11
bn_0142,0,1,A_organic,0.7603498,0.08554149,6
bn_0143,1,1,A_organic,0.809123,0.009681463,14
bn_0144,0,1,A_organic,0.7978887,0.049308836,17
bn_0145,0,1,A_organic,0.77856493,0.12006736,16
bn_0146,0,1,A_organic,0.7742566,0.07675713,22
bn_0147,0,1,A_organic,0.7813152,0.07294923,6
bn_0148,0,1,A_organic,0.79687905,0.07388514,10
bn_0149,0,1,A_organic,0.80649537,0.06465989,13
bn_0151,0,1,A_organic,0.6146782,0.17640036,4
bn_0152,0,1,A_organic,0.8123805,0.035466373,10
bn_0153,0,1,A_organic,0.7503908,0.082136214,12
bn_0154,0,1,A_organic,0.85625,0.028985202,7
bn_0155,0,1,A_organic,0.9126257,0.0015512705,3
bn_0156,0,1,A_organic,0.90163666,0.019867003,11
bn_0157,0,1,A_organic,0.72300744,0.08145279,10
bn_0158,0,1,A_organic,0.7461055,0.06588048,10
bn_0159,0,1,A_organic,0.76828784,0.027162194,5
bn_0160,0,1,A_organic,0.72917485,0.04167092,9
bn_0161,0,1,A_organic,0.81795955,0.05993104,11
bn_0162,0,1,A_organic,0.7545197,0.06258029,24
bn_0163,0,1,A_organic,0.79122394,0.02254808,10
bn_0164,0,1,A_organic,0.7758436,0.020646393,26
bn_0165,1,1,A_organic,0.8252058,0.08471769,3
bn_0166,0,1,A_organic,0.8432524,0.012759745,13
bn_0167,0,1,A_organic,0.80062574,0.059618652,26
bn_0168,0,1,A_organic,0.7157325,0.08912498,17
bn_0169,0,1,A_organic,0.78061706,0.07858884,4
bn_0170,0,1,A_organic,0.7746866,0.029695809,3
bn_0171,0,1,A_organic,0.73848313,0.11123717,10
bn_0172,0,1,A_organic,0.668833,0.17276269,11
bn_0173,0,1,A_organic,0.7452559,0.054857373,13
