review_id,cluster_k2,Sentiment,region,dist_to_own_centroid,margin,n_words
bn_2311,1,2,B_uniform,0.7237291,0.05118084,6
bn_2312,1,2,B_uniform,0.6368286,0.06504369,8
bn_2314,1,2,B_uniform,0.6151396,0.08493769,10
bn_2315,1,2,B_uniform,0.6403405,0.09026897,7
bn_2316,0,2,B_uniform,0.6663775,0.04876268,11
bn_2317,1,2,B_uniform,0.7372605,0.08888626,8
bn_2318,0,2,B_uniform,0.6770611,0.07547253,9
bn_2319,0,2,B_uniform,0.7027851,0.05700493,7
bn_2320,1,2,B_uniform,0.6726944,0.075675845,9
bn_2321,1,2,B_uniform,0.6364065,0.09284103,8
bn_2322,0,2,B_uniform,0.70349485,0.066061735,8
bn_2323,1,2,B_uniform,0.71007794,0.078665614,6
bn_2324,1,2,B_uniform,0.7089295,0.027801096,9
bn_2325,1,2,B_uniform,0.6267288,0.018674076,10
bn_2326,1,2,B_uniform,0.7059435,0.09422958,8
bn_2327,1,2,B_uniform,0.67411184,0.069872856,7
bn_2328,0,2,B_uniform,0.70211726,0.04403305,8
bn_2329,1,2,B_uniform,0.76710767,0.046784043,8
bn_2330,1,2,B_uniform,0.6215229,0.04262507,10
bn_2331,1,2,B_uniform,0.67697597,0.041962147,11
bn_2332,0,2,B_uniform,0.74307275,0.033138752,9
bn_2333,1,2,B_uniform,0.6448048,0.04574704,6
bn_2334,1,2,B_uniform,0.66962767,0.00840503,7
bn_2335,1,2,B_uniform,0.5770758,0.022157192,10
bn_2336,1,2,B_uniform,0.7408213,0.08995384,9
bn_2337,1,2,B_uniform,0.6785289,0.094308555,11
bn_2338,1,2,B_uniform,0.62305427,0.091036975,7
bn_2339,1,2,B_uniform,0.7039489,0.05047095,10
bn_2340,1,2,B_uniform,0.6918519,0.011449575,10
bn_2341,1,2,B_uniform,0.59894097,0.015111327,6
bn_2342,1,2,B_uniform,0.60503113,0.07526642,8
bn_2343,1,2,B_uniform,0.74202883,0.04531187,10
bn_2344,1,2,B_uniform,0.6754618,0.0789274,8
bn_2345,0,2,B_uniform,0.74377066,0.06450361,7
bn_2346,1,2,B_uniform,0.7010616,0.08185536,9
bn_2347,1,2,B_uniform,0.7733545,0.062601805,7
bn_2348,1,2,B_uniform,0.62572014,0.08393335,9
bn_2349,1,2,B_uniform,0.6980257,0.0017775893,6
bn_2350,1,2,B_uniform,0.6525294,0.07260656,9
bn_2351,1,2,B_uniform,0.63440585,0.0555529,7
bn_2352,1,2,B_uniform,0.6625771,0.07897246,8
bn_2353,1,2,B_uniform,0.6712051,0.046253502,8
bn_2354,1,2,B_uniform,0.64173007,0.028073788,9
bn_2355,1,2,B_uniform,0.7312866,0.061315298,8
bn_2356,1,2,B_uniform,0.727963,0.08288717,7
bn_2357,0,2,B_uniform,0.6419432,0.06672019,8
bn_2358,0,2,B_uniform,0.7037397,0.027970016,7
bn_2359,0,2,B_uniform,0.7233605,0.04646045,6
bn_2360,1,2,B_uniform,0.67703235,0.03468567,8
bn_2361,1,2,B_uniform,0.6934066,0.017911851,9
bn_2362,1,2,B_uniform,0.6488755,0.02039069,9
bn_2363,1,2,B_uniform,0.61828285,0.008610129,6
bn_2364,1,2,B_uniform,0.64098656,0.024826527,8
bn_2365,1,2,B_uniform,0.71759015,0.05288613,7
bn_2366,1,2,B_uniform,0.67527026,0.10051566,6
bn_2367,0,2,B_uniform,0.61160576,0.060441673,7
bn_2368,0,2,B_uniform,0.70689386,0.021346152,9
bn_2369,1,2,B_uniform,0.63954717,0.038978636,12
bn_2370,1,2,B_uniform,0.60550845,0.05282563,9
bn_2371,1,2,B_uniform,0.733086,0.065019846,9
bn_2372,1,2,B_uniform,0.5957444,0.08467293,7
bn_2373,1,2,B_uniform,0.65670717,0.02861911,9
bn_2374,1,2,B_uniform,0.7072066,0.057025313,10
bn_2375,0,2,B_uniform,0.7194067,0.04462415,9
bn_2376,1,2,B_uniform,0.7707446,0.017022133,10
bn_2377,1,2,B_uniform,0.6878786,0.09990209,10
bn_2378,1,2,B_uniform,0.7504431,0.054305136,8
bn_2379,1,2,B_uniform,0.6496111,0.03906876,8
bn_2380,1,2,B_uniform,0.6210099,0.032257974,10
bn_2381,1,2,B_uniform,0.63264775,0.06300467,12
bn_2382,1,2,B_uniform,0.63941276,0.0667243,9
bn_2383,0,2,B_uniform,0.7026239,0.052425206,9
bn_2384,1,2,B_uniform,0.7059034,0.0033581853,9
bn_2385,1,2,B_uniform,0.64512223,0.050874233,7
bn_2386,1,2,B_uniform,0.67284346,0.028309882,8
bn_2387,1,2,B_uniform,0.71740437,0.077864885,12
bn_2388,1,2,B_uniform,0.74251246,0.060854316,11
bn_2389,0,2,B_uniform,0.6947346,0.025541902,12
bn_2390,1,2,B_uniform,0.561653,0.11059511,9
bn_2391,1,2,B_uniform,0.66550577,0.07136899,9
bn_2392,1,2,B_uniform,0.65961725,0.027400672,9
bn_2393,0,2,B_uniform,0.7243076,0.055176497,8
bn_2394,1,2,B_uniform,0.66194063,0.002488315,10
bn_2395,1,2,B_uniform,0.64656985,0.04305142,8
bn_2396,1,2,B_uniform,0.6894404,0.026754558,8
bn_2397,1,2,B_uniform,0.63770825,0.036310554,10
bn_2398,1,2,B_uniform,0.64641994,0.0646202,10
bn_2399,1,2,B_uniform,0.76988655,0.015949905,10
bn_2400,1,2,B_uniform,0.7412268,0.045976937,8
bn_2401,1,2,B_uniform,0.70474076,0.06554544,11
bn_2402,1,2,B_uniform,0.62763804,0.07864207,8
bn_2403,1,2,B_uniform,0.69208384,0.085128486,6
bn_2404,1,2,B_uniform,0.5725003,0.093304634,8
bn_2405,1,2,B_uniform,0.7540555,0.08188963,8
bn_2406,1,2,B_uniform,0.8054899,0.05418122,8
bn_2407,1,2,B_uniform,0.7087266,0.043335974,10
bn_2408,1,2,B_uniform,0.6459141,0.07433057,6
bn_2409,1,2,B_uniform,0.660211,0.08864683,9
bn_2410,1,2,B_uniform,0.6191215,0.061192334,8
bn_2411,1,2,B_uniform,0.6115856,0.028076231,9
bn_2412,0,2,B_uniform,0.66070586,0.07318598,9
bn_2413,1,2,B_uniform,0.6688561,0.0096844435,8
bn_2414,0,2,B_uniform,0.7718138,0.06255025,9
bn_2415,1,2,B_uniform,0.6461689,0.049850285,11
bn_2416,1,2,B_uniform,0.6014161,0.07532394,11
bn_2417,1,2,B_uniform,0.6933569,0.013986349,9
bn_2418,0,2,B_uniform,0.637195,0.0069472194,7
bn_2419,1,2,B_uniform,0.67029023,0.039896905,10
bn_2420,1,2,B_uniform,0.6973463,0.06920564,5
bn_2421,1,2,B_uniform,0.6998027,0.03454399,12
bn_2422,1,2,B_uniform,0.6089528,0.072912395,7
bn_2423,1,2,B_uniform,0.5802047,0.09796715,11
bn_2424,1,2,B_uniform,0.62473184,0.06412637,12
bn_2425,1,2,B_uniform,0.6524831,0.012194455,10
bn_2426,1,2,B_uniform,0.6202828,0.04242432,10
bn_2427,1,2,B_uniform,0.7018231,0.08328378,12
bn_2428,1,2,B_uniform,0.6691258,0.08492589,6
bn_2429,1,2,B_uniform,0.6791127,0.10537827,9
bn_2430,1,2,B_uniform,0.6472588,0.027749002,7
bn_2431,1,2,B_uniform,0.5948726,0.082223535,7
bn_2432,1,2,B_uniform,0.64319164,0.083824515,7
bn_2433,1,2,B_uniform,0.60274607,0.08207893,10
bn_2434,1,2,B_uniform,0.6785857,0.019974768,8
bn_2435,1,2,B_uniform,0.68875897,0.07156241,11
bn_2436,1,2,B_uniform,0.69533557,0.035470486,7
