word,count_c0,count_c1,log_odds_delta,z
শিক্ষনীয়,5,0,3.0222866801264416,1.0151571838486277
শিখার,5,0,3.0222866801264416,1.0151571838486277
বুঝা,5,0,3.0222866801264416,1.0151571838486277
হিসাব,5,0,3.0222866801264416,1.0151571838486277
মীর,5,0,3.0222866801264416,1.0151571838486277
জিতের,5,0,3.0222866801264416,1.0151571838486277
ততবারই,5,0,3.0222866801264416,1.0151571838486277
বহু,5,0,3.0222866801264416,1.0151571838486277
পারিবারিক,5,0,3.0222866801264416,1.0151571838486277
ধ্বংস,5,0,3.0222866801264416,1.0151571838486277
মুভিগুলো,5,0,3.0222866801264416,1.0151571838486277
ছোটবেলায়,5,0,3.0222866801264416,1.0151571838486277
দেখবো,5,0,3.0222866801264416,1.0151571838486277
মানুষকে,5,0,3.0222866801264416,1.0151571838486277
মাতৃত্বের,5,0,3.0222866801264416,1.0151571838486277
সমাজ,5,0,3.0222866801264416,1.0151571838486277
দেখছিলাম,5,0,3.0222866801264416,1.0151571838486277
পুরস্কার,5,0,3.0222866801264416,1.0151571838486277
মেয়ে,5,0,3.0222866801264416,1.0151571838486277
উচিত।,5,0,3.0222866801264416,1.0151571838486277
হিট,5,0,3.0222866801264416,1.0151571838486277
দেখছি।,5,0,3.0222866801264416,1.0151571838486277
আসল,5,0,3.0222866801264416,1.0151571838486277
জগতের,5,0,3.0222866801264416,1.0151571838486277
বলছি,5,0,3.0222866801264416,1.0151571838486277
মুভিটা।,5,0,3.0222866801264416,1.0151571838486277
রাখার,5,0,3.0222866801264416,1.0151571838486277
সি,5,0,3.0222866801264416,1.0151571838486277
পড়ে,5,0,3.0222866801264416,1.0151571838486277
এবং,30,9,0.3689317502155198,1.010206716829228
আসলেই,10,2,0.7375219064830123,1.0069056248727124
যত,10,2,0.7375219064830123,1.0069056248727124
যখন,10,2,0.7375219064830123,1.0069056248727124
যায়,16,4,0.5360709117532556,1.004347676492346
কষ্ট,13,3,0.6087628715249069,0.998632893925689
যারা,13,3,0.6087628715249069,0.998632893925689
সাথে,27,8,0.3803501653707091,0.9837002718232405
আবার,35,11,0.32594707174365833,0.9799217988785748
মনে,63,22,0.22829479472632652,0.9551509221495867
সবাই,21,6,0.4137694415658748,0.9316756994360493
প্রথম,18,5,0.4396268762563187,0.9073176161437498
এরা,6,1,0.8989196684391967,0.8886513741979687
আপনি,6,1,0.8989196684391967,0.8886513741979687
টাকা,6,1,0.8989196684391967,0.8886513741979687
আজকাল,6,1,0.8989196684391967,0.8886513741979687
শাহ,6,1,0.8989196684391967,0.8886513741979687
পর্যন্ত,6,1,0.8989196684391967,0.8886513741979687
অসংখ্য,6,1,0.8989196684391967,0.8886513741979687
মিলিয়ে,6,1,0.8989196684391967,0.8886513741979687
থাকুক,6,1,0.8989196684391967,0.8886513741979687
জানি,6,1,0.8989196684391967,0.8886513741979687
প্রতিটা,6,1,0.8989196684391967,0.8886513741979687
করছি,6,1,0.8989196684391967,0.8886513741979687
আলমগীর,6,1,0.8989196684391967,0.8886513741979687
লাগল,6,1,0.8989196684391967,0.8886513741979687
শত,6,1,0.8989196684391967,0.8886513741979687
তামিল,6,1,0.8989196684391967,0.8886513741979687
নতুন,15,4,0.4770283403783768,0.8856967858192374
দারুণ,12,3,0.535960607870722,0.8696116308256738
করি,9,2,0.6427828047141011,0.8653468089991071
দিয়ে,9,2,0.6427828047141011,0.8653468089991071
এখনো,9,2,0.6427828047141011,0.8653468089991071
স্যার,9,2,0.6427828047141011,0.8653468089991071
বানাতে,9,2,0.6427828047141011,0.8653468089991071
সবচেয়ে,9,2,0.6427828047141011,0.8653468089991071
পারি,9,2,0.6427828047141011,0.8653468089991071
এরকম,28,9,0.30496517827509884,0.8265211070205251
তাই,17,5,0.3869523376487507,0.7920362701959219
টা,85,32,0.15810284609087244,0.7883359999363762
রকম,19,6,0.3212259662564785,0.7127283261746362
সৃষ্টি,5,1,0.7373488275951008,0.7118227082549902
এটি,5,1,0.7373488275951008,0.7118227082549902
দুর্দান্ত,5,1,0.7373488275951008,0.7118227082549902
মজা,5,1,0.7373488275951008,0.7118227082549902
দেয়ার,5,1,0.7373488275951008,0.7118227082549902
বেলায়,5,1,0.7373488275951008,0.7118227082549902
বেঁচে,5,1,0.7373488275951008,0.7118227082549902
আম্মাজান,5,1,0.7373488275951008,0.7118227082549902
বিষয়,5,1,0.7373488275951008,0.7118227082549902
আজও,5,1,0.7373488275951008,0.7118227082549902
উঠেছে,5,1,0.7373488275951008,0.7118227082549902
যুগে,5,1,0.7373488275951008,0.7118227082549902
পরিবার,5,1,0.7373488275951008,0.7118227082549902
কলকাতার,5,1,0.7373488275951008,0.7118227082549902
মৌসুমী,5,1,0.7373488275951008,0.7118227082549902
ইলিয়াস,5,1,0.7373488275951008,0.7118227082549902
দেখে।,5,1,0.7373488275951008,0.7118227082549902
শাবানা,8,2,0.5358503504526633,0.7098888554472457
সালমান,8,2,0.5358503504526633,0.7098888554472457
এইরকম,8,2,0.5358503504526633,0.7098888554472457
হয়েছে।,8,2,0.5358503504526633,0.7098888554472457
মান্না,8,2,0.5358503504526633,0.7098888554472457
হলে,34,12,0.21796931604298475,0.6724021079936744
লাগলো।,13,4,0.34517265468856273,0.627748585927801
মা,13,4,0.34517265468856273,0.627748585927801
আমরা,10,3,0.36852121978281627,0.5825941135437067
ছিল।,10,3,0.36852121978281627,0.5825941135437067
সকল,10,3,0.36852121978281627,0.5825941135437067
খুবই,28,10,0.20684075108175115,0.5813969948646843
